iter	Passed	Remaining
0	166	166238
1	167	83352
2	167	55655
3	168	41841
4	168	33556
5	169	28027
6	169	24068
7	170	21148
8	171	18845
9	171	17000
10	172	15490
11	172	14235
12	173	13177
13	174	12262
14	174	11482
15	175	10794
16	176	10185
17	177	9656
18	177	9169
19	178	8731
20	178	8332
21	179	7973
22	179	7644
23	180	7340
24	181	7068
25	181	6809
26	182	6569
27	182	6350
28	183	6146
29	184	5951
30	184	5769
31	185	5600
32	185	5442
33	186	5296
34	187	5159
35	187	5025
36	188	4897
37	188	4775
38	189	4663
39	189	4555
40	190	4451
41	190	4351
42	191	4257
43	191	4167
44	192	4084
45	193	4003
46	193	3925
47	194	3850
48	194	3777
49	195	3710
50	195	3644
51	196	3579
52	196	3516
53	197	3456
54	197	3398
55	198	3341
56	198	3287
57	199	3237
58	199	3187
59	200	3139
60	200	3094
61	201	3050
62	202	3009
63	202	2967
64	203	2925
65	203	2886
66	204	2847
67	204	2807
68	205	2771
69	205	2736
70	206	2702
71	207	2669
72	207	2637
73	208	2606
74	208	2575
75	209	2552
76	210	2522
77	210	2493
78	211	2465
79	212	2439
80	212	2412
81	213	2386
82	213	2361
83	214	2337
84	214	2312
85	215	2288
86	215	2263
87	216	2242
88	216	2220
89	217	2199
90	218	2178
91	218	2157
92	219	2137
93	219	2117
94	220	2098
95	220	2079
96	221	2060
97	221	2042
98	222	2028
99	223	2010
100	223	1993
101	224	1974
102	224	1957
103	225	1941
104	226	1926
105	226	1910
106	227	1895
107	227	1879
108	228	1864
109	228	1850
110	229	1836
111	229	1821
112	230	1808
113	230	1794
114	231	1780
115	231	1766
116	232	1753
117	232	1741
118	233	1727
119	233	1715
120	234	1702
121	234	1690
122	235	1676
123	235	1665
124	236	1653
125	236	1642
126	237	1632
127	237	1620
128	238	1609
129	238	1598
130	239	1588
131	239	1577
132	240	1567
133	240	1557
134	241	1547
135	242	1538
136	242	1528
137	243	1518
138	243	1509
139	244	1500
140	244	1491
141	245	1482
142	245	1473
143	246	1464
144	246	1455
145	247	1446
146	247	1438
147	248	1429
148	248	1422
149	249	1414
150	250	1406
151	250	1398
152	251	1391
153	251	1383
154	252	1376
155	252	1368
156	253	1360
157	253	1353
158	254	1346
159	255	1339
160	255	1332
161	256	1326
162	257	1320
163	257	1313
164	258	1306
165	258	1300
166	259	1293
167	259	1286
168	260	1280
169	260	1273
